Index,Return,W_PEP,W_NKE,W_PFE,W_BX,W_ASML
0,0.13755403776651992,0.07982511088235236,0.512038389408036,0.22398576258681618,0.15529660367057369,0.028854133452221646
1,0.19960998855362697,0.04275816413952157,0.04786568760851859,0.13447798789204826,0.4012899268833486,0.3736082334765632
2,0.19188668475032336,0.004803567120388985,0.24462868506359156,0.0025842773699989415,0.5294295505519612,0.2185539198940593
3,0.13981345044210394,0.04008315061374478,0.1719487495286008,0.1358135028502938,0.2927961565368696,0.359358440470491
4,0.10955267352466286,0.0351441337407035,0.0651617752270541,0.5451520167669623,0.34357559778558894,0.010966476479691257
5,0.15267295717100093,0.265491844700248,0.14606261662730471,0.2014656609382212,0.10646043537928473,0.28051944235494136
6,0.17279422596971475,0.00986315806196635,0.19541845799470017,0.19387526687856352,0.33774907165881085,0.26309404540595893
7,0.040398864890476144,0.16098589526357793,0.335987720613428,0.4520745946620516,0.028483794160913675,0.02246799530002874
8,0.10409452920214626,0.2608189128292579,0.6322312704754549,0.04607784687447906,0.012988504921008363,0.04788346489979995
9,0.16759347151080192,0.220966339838207,0.09204047695502957,0.018313598909546164,0.4543821033596281,0.21429748093758924
10,0.1496517293799673,0.20553892245223074,0.35579193641909895,0.04562045042989287,0.12749764250657272,0.2655510481922047
11,0.09162192668648186,0.25118344162254574,0.18078486828717497,0.4407648572383096,0.11690811391384051,0.010358718938129254
12,0.13910479711103352,0.36083174155731734,0.15870745201780803,0.2998165579987154,0.0070602457589640415,0.1735840026671952
13,0.10129957909961557,0.06807208400150298,0.46462572826460646,0.2363327873316821,0.18362501259540154,0.047344387806806866
14,0.12939912044574367,0.13523871854741962,0.3990633423690556,0.0637283322223653,0.39600874296543165,0.005960863895727754
15,0.14402762904165667,0.1559383490740286,0.2755466734969338,0.15420741003163665,0.21357542025603893,0.20073214714136187
