exp_id,num_assets,num_portfolios,risk_aversion,ansatz_reps,quantum_return,quantum_risk,quantum_sharpe,classical_return,classical_risk,classical_sharpe,vqe_runtime_sec,depth,parameters
n3_p10_r2_a3,3,10,0.3,2,0.0003333333333333333,0.009808952826655634,-0.9854942558595748,0.1010197778866448,0.15343642331546037,0.5932084176617638,6.003,1,0
n3_p10_r2_a5,3,10,0.5,2,0.0003142857142857142,0.009594822158065149,-1.0094730393280646,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.261,1,0
n3_p10_r2_a8,3,10,0.8,2,0.00035,0.01274607782810069,-0.7570956438634864,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.319,1,0
n3_p10_r3_a3,3,10,0.3,3,0.0003,0.0116,-0.8362068965517242,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.453,1,0
n3_p10_r3_a5,3,10,0.5,3,0.0003,0.0147,-0.6598639455782314,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.156,1,0
n3_p10_r3_a8,3,10,0.8,3,0.00034,0.011440629353317938,-0.8443591433366792,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.475,1,0
n3_p10_r4_a3,3,10,0.3,4,0.0004,0.0227,-0.42290748898678415,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.399,1,0
n3_p10_r4_a5,3,10,0.5,4,0.00036666666666666667,0.015479144040506806,-0.622342767024082,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.249,1,0
n3_p10_r4_a8,3,10,0.8,4,0.0003,0.0147,-0.6598639455782314,0.1010197778866448,0.15343642331546037,0.5932084176617638,5.187,1,0
n3_p20_r2_a3,3,20,0.3,2,0.000376,0.017391354633840346,-0.5533783999363387,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.247,1,0
n3_p20_r2_a5,3,20,0.5,2,0.0004,0.0227,-0.42290748898678415,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.395,1,0
n3_p20_r2_a8,3,20,0.8,2,0.0003,0.0116,-0.8362068965517242,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.436,1,0
n3_p20_r3_a3,3,20,0.3,3,0.00035999999999999997,0.01483505308382818,-0.6498123023576268,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.31,1,0
n3_p20_r3_a5,3,20,0.5,3,0.0003,0.0147,-0.6598639455782314,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.322,1,0
n3_p20_r3_a8,3,20,0.8,3,0.00035,0.01274607782810069,-0.7570956438634864,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.279,1,0
n3_p20_r4_a3,3,20,0.3,4,0.00032105263157894735,0.009592477431232146,-1.0090143487757781,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.524,1,0
n3_p20_r4_a5,3,20,0.5,4,0.0003333333333333333,0.009808952826655634,-0.9854942558595748,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.407,1,0
n3_p20_r4_a8,3,20,0.8,4,0.00032727272727272726,0.009642750884892711,-1.0031086966979026,0.10205437635549706,0.22061511757680488,0.41726232257610035,5.345,1,0
n3_p50_r2_a3,3,50,0.3,2,0.0003612244897959184,0.014394548114138412,-0.6696129280179917,0.15207936340953554,0.24436789446505652,0.5814158350079504,4.969,1,0
n3_p50_r2_a5,3,50,0.5,2,0.0004,0.0227,-0.42290748898678415,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.429,1,0
n3_p50_r2_a8,3,50,0.8,2,,,,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.432,1,0
n3_p50_r3_a3,3,50,0.3,3,,,,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.248,1,0
n3_p50_r3_a5,3,50,0.5,3,0.000325,0.01239984878940062,-0.780251450184633,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.322,1,0
n3_p50_r3_a8,3,50,0.8,3,0.00035,0.01274607782810069,-0.7570956438634864,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.269,1,0
n3_p50_r4_a3,3,50,0.3,4,0.0003375,0.011181464852603169,-0.8641533222501222,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.488,1,0
n3_p50_r4_a5,3,50,0.5,4,0.0003363636363636363,0.011555986606356075,-0.8362450297684775,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.512,1,0
n3_p50_r4_a8,3,50,0.8,4,0.000332,0.009608969143461748,-1.006143307950824,0.15207936340953554,0.24436789446505652,0.5814158350079504,5.484,1,0
n4_p10_r2_a3,4,10,0.3,2,0.0005,0.018492768857042475,-0.513714310357704,0.1177632525297037,0.1914127051531966,0.562989026477922,5.342,1,0
n4_p10_r2_a5,4,10,0.5,2,0.00036400000000000007,0.014933025949217395,-0.6452811394535212,0.1177632525297037,0.1914127051531966,0.562989026477922,5.354,1,0
n4_p10_r2_a8,4,10,0.8,2,0.00035000000000000005,0.012233084267446393,-0.7888443984383996,0.1177632525297037,0.1914127051531966,0.562989026477922,5.466,1,0
n4_p10_r3_a3,4,10,0.3,3,0.0004000000000000001,0.01294055854882453,-0.7418536042149454,0.1177632525297037,0.1914127051531966,0.562989026477922,5.514,1,0
n4_p10_r3_a5,4,10,0.5,3,0.0004384615384615384,0.015629483971992462,-0.6117629013646538,0.1177632525297037,0.1914127051531966,0.562989026477922,5.386,1,0
n4_p10_r3_a8,4,10,0.8,3,0.0003214285714285714,0.008972989513887026,-1.0786339840910781,0.1177632525297037,0.1914127051531966,0.562989026477922,5.351,1,0
n4_p10_r4_a3,4,10,0.3,4,0.00034,0.012658546520039336,-0.7631207883707317,0.1177632525297037,0.1914127051531966,0.562989026477922,5.36,1,0
