experiment_id,timestamp,tickers,parameters.num_assets,parameters.num_portfolios,parameters.ansatz_reps,parameters.risk_aversion,parameters.random_seed,quantum.return,quantum.risk,quantum.sharpe_ratio,quantum.var,quantum.cvar,quantum.max_drawdown,quantum.optimal_value,quantum.optimiser_evals,quantum.optimiser_time,quantum.circuit_metrics.depth,quantum.circuit_metrics.num_parameters,quantum.circuit_metrics.gate_counts.ry,quantum.circuit_metrics.gate_counts.barrier,quantum.circuit_metrics.gate_counts.cz,quantum.state_metrics.max_prob_state,quantum.state_metrics.entropy,quantum.state_metrics.num_significant_states,quantum.weights,classical.monte_carlo.return,classical.monte_carlo.risk,classical.monte_carlo.sharpe_ratio,classical.monte_carlo.var,classical.monte_carlo.cvar,classical.monte_carlo.max_drawdown,classical.mean_variance.return,classical.mean_variance.risk,classical.mean_variance.sharpe_ratio,classical.mean_variance.var,classical.mean_variance.cvar,classical.mean_variance.max_drawdown,data_stats.mean_returns,data_stats.return_stds,data_stats.cov_matrix
9ebcebcc,2025-08-11T21:43:24.846756,"['V', 'C', 'BAC']",3,100,1,0.2,45,0.47192727272727275,1.9342970854570816,0.2388088552685368,-2.709708303888469,-3.517972098969338,4.835742713642704,,0,1.5303552150726318,4,6,6,2,2,0.9938417605814309,0.040870782650196016,1,"[0.06060606060606061, 0.9090909090909091, 0.030303030303030304]",0.4662448107303109,1.8890970355825993,0.24151475659354074,-2.6410432999110016,-3.4304198391902307,4.722742588956498,0.1797708918707071,0.3014250598155028,0.5632275298365073,-0.3160292110208871,-0.441982439514423,0.7535626495387571,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.00033076661943811514, -0.00013487717933397827], [-0.00033076661943811514, 0.018036490000000002, -0.0004471368588473331], [-0.00013487717933397827, -0.0004471368588473331, 0.00093025]]"
24fa4d55,2025-08-11T21:45:41.842163,"['V', 'C', 'BAC']",3,100,1,0.2,123,0.2679157894736842,0.69706932008815,0.3700002023343513,-0.8786612099099059,-1.1699380247926374,1.7426733002203751,,0,4.340601205825806,4,6,6,2,2,0.9935892115015481,0.04660930955458508,1,"[0.5263157894736842, 0.3157894736842105, 0.15789473684210525]",0.47494042071968656,1.9567233726366295,0.2376117274529166,-2.74358311570239,-3.5612179407670173,4.891808431591574,0.17571440840111416,0.3418361726230619,0.4847772754109472,-0.3865560599611386,-0.5293954429377953,0.8545904315576547,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.0001440774312669895, 4.179303073729718e-05], [-0.0001440774312669895, 0.018036490000000002, 0.00013263685810295953], [4.179303073729718e-05, 0.00013263685810295953, 0.00093025]]"
2a8ef678,2025-08-11T21:48:14.603063,"['V', 'C', 'BAC']",3,100,1,0.2,256,0.30360000000000004,0.9968430862223856,0.29452980519995386,-1.3360609658743898,-1.7526010010261455,2.492107715555964,,0,1.0857207775115967,4,6,6,2,2,0.9972258569324098,0.021574987402291655,1,"[0.14285714285714285, 0.47619047619047616, 0.38095238095238093]",0.4415690031757172,1.7336683813120057,0.24893399904375849,-2.410061721756423,-3.134490970927227,4.334170953280014,0.18139059455980017,0.309051515958086,0.5545696613992483,-0.32695391237870836,-0.4560939255865298,0.772628789895215,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.0002921829412602865, -8.415312221504905e-05], [-0.0002921829412602865, 0.018036490000000002, -0.0006687651949791408], [-8.415312221504905e-05, -0.0006687651949791408, 0.00093025]]"
aa7490ed,2025-08-11T21:50:26.612432,"['V', 'C', 'BAC']",3,100,1,0.5,45,0.5006273959341724,2.110894383755397,0.23242631166667815,-2.9714848872973847,-3.853541484733583,5.277235959388492,,0,1.485745906829834,4,6,6,2,2,0.9900564890052101,0.06325182512881646,1,"[0.007018393030009681, 0.9903194578896418, 0.0026621490803484995]",0.4662448107303109,1.8890970355825993,0.24151475659354074,-2.6410432999110016,-3.4304198391902307,4.722742588956498,0.1797708918707071,0.3014250598155028,0.5632275298365073,-0.3160292110208871,-0.441982439514423,0.7535626495387571,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.00033076661943811514, -0.00013487717933397827], [-0.00033076661943811514, 0.018036490000000002, -0.0004471368588473331], [-0.00013487717933397827, -0.0004471368588473331, 0.00093025]]"
e5ac2c65,2025-08-11T21:53:10.669312,"['V', 'C', 'BAC']",3,100,1,0.5,123,0.5012997818181818,2.1142355843914453,0.23237702810663644,-2.976308287397952,-3.8597610361940027,5.285588960978613,,0,2.3569390773773193,4,6,6,2,2,0.9900095550873438,0.05937590787425851,1,"[0.008242424242424242, 0.9917575757575757, 0.0]",0.47494042071968656,1.9567233726366295,0.2376117274529166,-2.74358311570239,-3.5612179407670173,4.891808431591574,0.17571440840111416,0.3418361726230619,0.4847772754109472,-0.3865560599611386,-0.5293954429377953,0.8545904315576547,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.0001440774312669895, 4.179303073729718e-05], [-0.0001440774312669895, 0.018036490000000002, 0.00013263685810295953], [4.179303073729718e-05, 0.00013263685810295953, 0.00093025]]"
f35aa679,2025-08-11T21:56:18.268000,"['V', 'C', 'BAC']",3,100,1,0.5,256,0.47916646216768916,1.977946125195099,0.2371988074859278,-2.7742653957740795,-3.6007683428319313,4.944865312987748,,0,1.1009862422943115,4,6,6,2,2,0.9286606840227819,0.3104590591336268,3,"[0.04839809134287662, 0.9293342422176778, 0.02226766643944558]",0.4415690031757172,1.7336683813120057,0.24893399904375849,-2.410061721756423,-3.134490970927227,4.334170953280014,0.18139059455980017,0.309051515958086,0.5545696613992483,-0.32695391237870836,-0.4560939255865298,0.772628789895215,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.0002921829412602865, -8.415312221504905e-05], [-0.0002921829412602865, 0.018036490000000002, -0.0006687651949791408], [-8.415312221504905e-05, -0.0006687651949791408, 0.00093025]]"
02115d58,2025-08-11T21:59:22.602702,"['V', 'C', 'BAC']",3,100,1,0.8,45,0.4885849813432836,2.0341447690824936,0.23527577221514603,-2.857285419826421,-3.7072714861674143,5.085361922706234,,0,0.9132449626922607,4,6,6,2,2,0.9585918993594631,0.19416764912077134,2,"[0.03614738805970149, 0.9549906716417911, 0.008861940298507462]",0.4662448107303109,1.8890970355825993,0.24151475659354074,-2.6410432999110016,-3.4304198391902307,4.722742588956498,0.1797708918707071,0.3014250598155028,0.5632275298365073,-0.3160292110208871,-0.441982439514423,0.7535626495387571,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.00033076661943811514, -0.00013487717933397827], [-0.00033076661943811514, 0.018036490000000002, -0.0004471368588473331], [-0.00013487717933397827, -0.0004471368588473331, 0.00093025]]"
771cdb62,2025-08-11T22:01:52.106571,"['V', 'C', 'BAC']",3,100,1,0.8,123,0.4033104859335038,1.6013556744484925,0.24561094840405154,-2.2306852032224196,-2.899826373126096,4.003389186121231,,0,0.8117902278900146,4,6,6,2,2,0.6669083276561958,0.7301839735275005,3,"[0.014614541468761417, 0.7475337961271465, 0.23785166240409208]",0.47494042071968656,1.9567233726366295,0.2376117274529166,-2.74358311570239,-3.5612179407670173,4.891808431591574,0.17571440840111416,0.3418361726230619,0.4847772754109472,-0.3865560599611386,-0.5293954429377953,0.8545904315576547,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.0001440774312669895, 4.179303073729718e-05], [-0.0001440774312669895, 0.018036490000000002, 0.00013263685810295953], [4.179303073729718e-05, 0.00013263685810295953, 0.00093025]]"
170c5afa,2025-08-11T22:04:43.775496,"['V', 'C', 'BAC']",3,100,1,0.8,256,0.4878193187120859,2.029446005381127,0.23544322807561074,-2.8503223039412373,-3.6983449487323528,5.073615013452818,,0,1.111396312713623,4,6,6,2,2,0.949441966254993,0.24019662602588882,2,"[0.03733084461035931, 0.9528698086794214, 0.00979934671021932]",0.4415690031757172,1.7336683813120057,0.24893399904375849,-2.410061721756423,-3.134490970927227,4.334170953280014,0.18139059455980017,0.309051515958086,0.5545696613992483,-0.32695391237870836,-0.4560939255865298,0.772628789895215,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.0002921829412602865, -8.415312221504905e-05], [-0.0002921829412602865, 0.018036490000000002, -0.0006687651949791408], [-8.415312221504905e-05, -0.0006687651949791408, 0.00093025]]"
e92a320a,2025-08-11T22:09:20.028984,"['V', 'C', 'BAC']",3,100,2,0.2,45,0.21786545454545456,0.5691443568868007,0.3652244848433026,-0.7182937051387625,-0.956115899725527,1.4228608922170016,,0,8.951555967330933,7,9,9,4,4,0.9835259061854795,0.10735422057570027,1,"[0.19090909090909092, 0.2545454545454545, 0.5545454545454546]",0.4662448107303109,1.8890970355825993,0.24151475659354074,-2.6410432999110016,-3.4304198391902307,4.722742588956498,0.1797708918707071,0.3014250598155028,0.5632275298365073,-0.3160292110208871,-0.441982439514423,0.7535626495387571,"[0.0007, 0.002, 0.0004]","[0.022, 0.1343, 0.0305]","[[0.00048399999999999995, -0.00033076661943811514, -0.00013487717933397827], [-0.00033076661943811514, 0.018036490000000002, -0.0004471368588473331], [-0.00013487717933397827, -0.0004471368588473331, 0.00093025]]"
