exp_id,num_assets,num_portfolios,risk_aversion,ansatz_reps,quantum_return,quantum_risk,quantum_sharpe,classical_return,classical_risk,classical_sharpe,vqe_runtime_sec,depth,parameters
n3_p10_r1_a3,3,10,0.3,1,0.0003627613963395961,0.014850861430644702,-0.6489346526238535,0.1010197778866448,0.15343642331546037,0.5932084176617638,1.902,1,0
n3_p10_r1_a5,3,10,0.5,1,0.0003627613963395961,0.014850861430644702,-0.6489346526238535,0.1010197778866448,0.15343642331546037,0.5932084176617638,1.362,1,0
n3_p10_r1_a8,3,10,0.8,1,0.0003356762344271674,0.012240300520506422,-0.7895495498155456,0.1010197778866448,0.15343642331546037,0.5932084176617638,1.31,1,0
n3_p10_r2_a3,3,10,0.3,2,0.00032528774644442787,0.009036307266895558,-1.070648879880259,0.1010197778866448,0.15343642331546037,0.5932084176617638,1.301,1,0
n3_p10_r2_a5,3,10,0.5,2,0.0003627613963395961,0.014850861430644702,-0.6489346526238535,0.1010197778866448,0.15343642331546037,0.5932084176617638,1.308,1,0
n3_p10_r2_a8,3,10,0.8,2,0.0003627613963395961,0.014850861430644702,-0.6489346526238535,0.1010197778866448,0.15343642331546037,0.5932084176617638,1.312,1,0
n3_p20_r1_a3,3,20,0.3,1,0.00033537099447925256,0.010049546272726207,-0.9616980451893535,0.10205437635549706,0.22061511757680488,0.41726232257610035,1.309,1,0
n3_p20_r1_a5,3,20,0.5,1,0.0003356762344271674,0.012240300520506422,-0.7895495498155456,0.10205437635549706,0.22061511757680488,0.41726232257610035,1.351,1,0
n3_p20_r1_a8,3,20,0.8,1,0.00032299679176649957,0.0120180483017634,-0.8052058841212678,0.10205437635549706,0.22061511757680488,0.41726232257610035,1.337,1,0
n3_p20_r2_a3,3,20,0.3,2,0.00034692396013238404,0.01193985339586284,-0.8084752567575417,0.10205437635549706,0.22061511757680488,0.41726232257610035,1.329,1,0
n3_p20_r2_a5,3,20,0.5,2,0.00032872106724289335,0.0099320992390464,-0.9737396596618847,0.10205437635549706,0.22061511757680488,0.41726232257610035,1.333,1,0
n3_p20_r2_a8,3,20,0.8,2,0.0003356762344271674,0.012240300520506422,-0.7895495498155456,0.10205437635549706,0.22061511757680488,0.41726232257610035,1.332,1,0
n3_p50_r1_a3,3,50,0.3,1,0.0003041494655804894,0.012674496963952273,-0.7649889823632153,0.15207936340953554,0.24436789446505652,0.5814158350079504,1.333,1,0
n3_p50_r1_a5,3,50,0.5,1,0.00037038099723476646,0.01643242217008674,-0.5860133644992888,0.15207936340953554,0.24436789446505652,0.5814158350079504,1.325,1,0
n3_p50_r1_a8,3,50,0.8,1,0.0003041494655804894,0.012674496963952273,-0.7649889823632153,0.15207936340953554,0.24436789446505652,0.5814158350079504,1.313,1,0
n3_p50_r2_a3,3,50,0.3,2,0.0003574075220026638,0.013634836413669518,-0.7072026524887542,0.15207936340953554,0.24436789446505652,0.5814158350079504,1.321,1,0
n3_p50_r2_a5,3,50,0.5,2,0.00032925035143620583,0.009258229216478335,-1.0445571634099566,0.15207936340953554,0.24436789446505652,0.5814158350079504,1.365,1,0
n3_p50_r2_a8,3,50,0.8,2,0.0003160012560844055,0.008469107104152775,-1.1434497904941012,0.15207936340953554,0.24436789446505652,0.5814158350079504,1.348,1,0
n4_p10_r1_a3,4,10,0.3,1,0.0005139899483380302,0.020204987257453916,-0.4694885441297391,0.1177632525297037,0.1914127051531966,0.562989026477922,1.364,1,0
n4_p10_r1_a5,4,10,0.5,1,0.00033208031065383307,0.008384207323428898,-1.1531107612678009,0.1177632525297037,0.1914127051531966,0.562989026477922,1.371,1,0
n4_p10_r1_a8,4,10,0.8,1,0.0003529427350608419,0.009554061057183082,-1.0097336836345794,0.1177632525297037,0.1914127051531966,0.562989026477922,1.341,1,0
n4_p10_r2_a3,4,10,0.3,2,0.0003451781209386851,0.01103483346581758,-0.8749404246986504,0.1177632525297037,0.1914127051531966,0.562989026477922,1.34,1,0
n4_p10_r2_a5,4,10,0.5,2,0.0003451781209386851,0.01103483346581758,-0.8749404246986504,0.1177632525297037,0.1914127051531966,0.562989026477922,1.336,1,0
n4_p10_r2_a8,4,10,0.8,2,0.0003529427350608419,0.009554061057183082,-1.0097336836345794,0.1177632525297037,0.1914127051531966,0.562989026477922,1.333,1,0
n4_p20_r1_a3,4,20,0.3,1,0.0003370685390133156,0.011290602068691789,-0.855838457701158,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.335,1,0
n4_p20_r1_a5,4,20,0.5,1,0.0003529427350608419,0.009554061057183082,-1.0097336836345794,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.389,1,0
n4_p20_r1_a8,4,20,0.8,1,0.0004006983846717166,0.013321225361708584,-0.7206019982907245,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.366,1,0
n4_p20_r2_a3,4,20,0.3,2,0.0003451781209386851,0.01103483346581758,-0.8749404246986504,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.368,1,0
n4_p20_r2_a5,4,20,0.5,2,0.00040318983894721723,0.012498322593168737,-0.7678478523428539,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.349,1,0
n4_p20_r2_a8,4,20,0.8,2,0.0003370685390133156,0.011290602068691789,-0.855838457701158,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.348,1,0
n4_p50_r1_a3,4,50,0.3,1,0.0005554532484558948,0.02437224384791828,-0.3875124018320865,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.371,1,0
n4_p50_r1_a5,4,50,0.5,1,0.0004028850889130843,0.012907825717869068,-0.7435113489176618,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.353,1,0
n4_p50_r1_a8,4,50,0.8,1,0.0005554532484558948,0.02437224384791828,-0.3875124018320865,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.333,1,0
n4_p50_r2_a3,4,50,0.3,2,0.0003402519882921833,0.010414563524105077,-0.92752307759704,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.335,1,0
n4_p50_r2_a5,4,50,0.5,2,0.00038133953038838633,0.01566480619942051,-0.614029969293041,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.409,1,0
n4_p50_r2_a8,4,50,0.8,2,0.00044929377176463226,0.013983445698081826,-0.6830009165441592,0.15348123322903412,0.4089601131067239,0.35084407655078736,1.363,1,0
n5_p10_r1_a3,5,10,0.3,1,0.0005955269153597038,0.014537535843669376,-0.6469097091675023,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.382,1,0
n5_p10_r1_a5,5,10,0.5,1,0.000417265390394166,0.01293394405770811,-0.7408981024542866,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.382,1,0
n5_p10_r1_a8,5,10,0.8,1,0.00040063810395370804,0.014728850652745599,-0.6517386945095325,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.373,1,0
n5_p10_r2_a3,5,10,0.3,2,0.0006866993102594508,0.014713177984274236,-0.6329904185006671,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.367,1,0
n5_p10_r2_a5,5,10,0.5,2,0.0006565846302432646,0.012682587754685238,-0.7367120614880086,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.367,1,0
n5_p10_r2_a8,5,10,0.8,2,0.0006565846302432646,0.012682587754685238,-0.7367120614880086,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.37,1,0
n5_p20_r1_a3,5,20,0.3,1,0.00041799071345853084,0.012953863862189477,-0.7397027935819226,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.355,1,0
n5_p20_r1_a5,5,20,0.5,1,0.00035787150701963694,0.010333377239928873,-0.9331052442102397,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.463,1,0
n5_p20_r1_a8,5,20,0.8,1,0.00035787150701963694,0.010333377239928873,-0.9331052442102397,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.371,1,0
n5_p20_r2_a3,5,20,0.3,2,0.000417265390394166,0.01293394405770811,-0.7408981024542866,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.382,1,0
n5_p20_r2_a5,5,20,0.5,2,0.000417265390394166,0.01293394405770811,-0.7408981024542866,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.461,1,0
n5_p20_r2_a8,5,20,0.8,2,0.00039937493782140807,0.00782106483342312,-1.2275342637680955,0.19960998855362697,0.2519951080973909,0.7524351960052599,1.376,1,0
n5_p50_r1_a3,5,50,0.3,1,0.00042861319555935283,0.008394210965499494,-1.1402366278116416,0.21240707770474132,0.32060341291509614,0.6313316376277748,1.361,1,0
n5_p50_r1_a5,5,50,0.5,1,0.0005955269153597038,0.014537535843669376,-0.6469097091675023,0.21240707770474132,0.32060341291509614,0.6313316376277748,1.348,1,0
n5_p50_r1_a8,5,50,0.8,1,0.00040063810395370804,0.014728850652745599,-0.6517386945095325,0.21240707770474132,0.32060341291509614,0.6313316376277748,1.357,1,0
n5_p50_r2_a3,5,50,0.3,2,0.0004848823860302534,0.008484372059188982,-1.1214875476452517,0.21240707770474132,0.32060341291509614,0.6313316376277748,1.443,1,0
n5_p50_r2_a5,5,50,0.5,2,0.00035787150701963694,0.010333377239928873,-0.9331052442102397,0.21240707770474132,0.32060341291509614,0.6313316376277748,1.386,1,0
n5_p50_r2_a8,5,50,0.8,2,0.000417265390394166,0.01293394405770811,-0.7408981024542866,0.21240707770474132,0.32060341291509614,0.6313316376277748,1.363,1,0
