exp_id,num_assets,num_portfolios,risk_aversion,ansatz_reps,quantum_return,quantum_risk,quantum_sharpe,classical_return,classical_risk,classical_sharpe,vqe_runtime_sec,depth,parameters
n3_p10_r2_a3,3,10,0.3,2,0.075,0.14475362210014334,0.44903884999182786,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.763,4,0
n3_p10_r2_a5,3,10,0.5,2,0.08333333333333333,0.15509316196689293,0.4728340850319854,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.273,4,0
n3_p10_r2_a8,3,10,0.8,2,0.075,0.23242740802237588,0.2796572080421016,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.263,4,0
n3_p10_r3_a3,3,10,0.3,3,0.08541666666666667,0.2018605300971716,0.3736077906382323,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.267,4,0
n3_p10_r3_a5,3,10,0.5,3,0.0875,0.2138018942853407,0.36248509518146854,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.267,4,0
n3_p10_r3_a8,3,10,0.8,3,0.07954545454545454,0.14999373265143695,0.4636557362504459,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.29,4,0
n3_p10_r4_a3,3,10,0.3,4,0.0,0.0,0.0,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.296,4,0
n3_p10_r4_a5,3,10,0.5,4,0.0875,0.2138018942853407,0.36248509518146854,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.276,4,0
n3_p10_r4_a8,3,10,0.8,4,0.095,0.29087334013278016,0.292223412297595,0.1010197778866448,0.15343642331546037,0.5932084176617638,0.262,4,0
n3_p20_r2_a3,3,20,0.3,2,0.0834070796460177,0.16042432866709233,0.4575807189341577,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.272,4,0
n3_p20_r2_a5,3,20,0.5,2,0.08125,0.1960588240809375,0.36341134011181464,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.263,4,0
n3_p20_r2_a8,3,20,0.8,2,0.07874999999999999,0.1538614320672266,0.4468306259489453,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.281,4,0
n3_p20_r3_a3,3,20,0.3,3,0.09,0.2275049450012021,0.35164070829131777,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.263,4,0
n3_p20_r3_a5,3,20,0.5,3,0.08055555555555556,0.15715104395861948,0.44896650876932154,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.286,4,0
n3_p20_r3_a8,3,20,0.8,3,0.09361702127659574,0.2698074401789482,0.309913697046817,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.282,4,0
n3_p20_r4_a3,3,20,0.3,4,0.075,0.23242740802237588,0.2796572080421016,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.282,4,0
n3_p20_r4_a5,3,20,0.5,4,0.08170103092783505,0.14274692299987632,0.5022947564894074,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.303,4,0
n3_p20_r4_a8,3,20,0.8,4,0.0868421052631579,0.18615531670908078,0.41278490790163663,0.10205437635549706,0.22061511757680488,0.41726232257610035,0.288,4,0
n3_p50_r2_a3,3,50,0.3,2,0.09166666666666667,0.24696603455176225,0.33067975041543596,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.344,4,0
n3_p50_r2_a5,3,50,0.5,2,0.075,0.18341210428976598,0.3543931860533529,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.297,4,0
n3_p50_r2_a8,3,50,0.8,2,0.1,0.35891851442911105,0.25075329463890234,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.275,4,0
n3_p50_r3_a3,3,50,0.3,3,0.08281249999999998,0.16103407296671718,0.45215586154272464,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.274,4,0
n3_p50_r3_a5,3,50,0.5,3,0.1,0.35891851442911105,0.25075329463890234,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.287,4,0
n3_p50_r3_a8,3,50,0.8,3,0.08653846153846155,0.18303898281723824,0.41815388372696594,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.302,4,0
n3_p50_r4_a3,3,50,0.3,4,0.07999999999999999,0.19931708406456283,0.35119919764291546,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.325,4,0
n3_p50_r4_a5,3,50,0.5,4,0.07656249999999999,0.1369088499810184,0.48618113444988026,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.274,4,0
n3_p50_r4_a8,3,50,0.8,4,0.08333333333333333,0.1710693491605735,0.4286760526837529,0.15207936340953554,0.24436789446505652,0.5814158350079504,0.313,4,0
n4_p10_r2_a3,4,10,0.3,2,0.09119718309859155,0.15725047302824127,0.5163557319411626,0.1177632525297037,0.1914127051531966,0.562989026477922,0.353,5,0
n4_p10_r2_a5,4,10,0.5,2,0.12499999999999997,0.3023306848059035,0.38037819440600296,0.1177632525297037,0.1914127051531966,0.562989026477922,0.357,5,0
n4_p10_r2_a8,4,10,0.8,2,0.08636363636363636,0.13034133510273566,0.5858742838827468,0.1177632525297037,0.1914127051531966,0.562989026477922,0.337,5,0
n4_p10_r3_a3,4,10,0.3,3,0.11538461538461536,0.2707610357151458,0.3892163254076383,0.1177632525297037,0.1914127051531966,0.562989026477922,0.325,5,0
n4_p10_r3_a5,4,10,0.5,3,0.08749999999999998,0.1574890991720528,0.49209755092530705,0.1177632525297037,0.1914127051531966,0.562989026477922,0.336,5,0
n4_p10_r3_a8,4,10,0.8,3,0.075,0.18341210428976598,0.3543931860533529,0.1177632525297037,0.1914127051531966,0.562989026477922,0.357,5,0
n4_p10_r4_a3,4,10,0.3,4,0.10773809523809523,0.2074316131877199,0.47118225489402593,0.1177632525297037,0.1914127051531966,0.562989026477922,0.317,5,0
n4_p10_r4_a5,4,10,0.5,4,0.10625,0.22526912916677144,0.4272667114043137,0.1177632525297037,0.1914127051531966,0.562989026477922,0.387,5,0
n4_p10_r4_a8,4,10,0.8,4,0.08763736263736263,0.14106597515594346,0.550362073856132,0.1177632525297037,0.1914127051531966,0.562989026477922,0.32,5,0
n4_p20_r2_a3,4,20,0.3,2,0.07666666666666666,0.21824789676980727,0.30546304295881505,0.15348123322903412,0.4089601131067239,0.35084407655078736,0.373,5,0
n4_p20_r2_a5,4,20,0.5,2,0.1071917808219178,0.19519007389342072,0.49793403364859246,0.15348123322903412,0.4089601131067239,0.35084407655078736,0.421,5,0
n4_p20_r2_a8,4,20,0.8,2,0.10576923076923075,0.19723061359948257,0.48556980593139526,0.15348123322903412,0.4089601131067239,0.35084407655078736,0.356,5,0
n4_p20_r3_a3,4,20,0.3,3,0.0875,0.1802967509490334,0.42984690290901484,0.15348123322903412,0.4089601131067239,0.35084407655078736,0.348,5,0
n4_p20_r3_a5,4,20,0.5,3,0.08662790697674418,0.1763038770358415,0.4346354048763556,0.15348123322903412,0.4089601131067239,0.35084407655078736,0.353,5,0
n4_p20_r3_a8,4,20,0.8,3,0.09596774193548387,0.1713265331387293,0.5017771641119515,0.15348123322903412,0.4089601131067239,0.35084407655078736,0.341,5,0
n4_p20_r4_a3,4,20,0.3,4,0.09289473684210525,0.16396506705178512,0.5055634003792076,0.15348123322903412,0.4089601131067239,0.35084407655078736,0.349,5,0
