num_assets,risk_aversion,q_mc_mean_diff,q_mc_p_value,q_mc_effect_size,q_mvo_mean_diff,q_mvo_p_value,q_mvo_effect_size
3,0.2,0.058489588704629204,2.182335826476155e-05,0.993768699739753,-0.23334037603194013,9.736840021705365e-17,-3.646267385991572
3,0.5,0.00022670834752589527,0.9337604207514127,0.016151006962933957,-0.29160325638904344,1.8861744457793288e-26,-8.861560467072223
3,0.8,0.013509890164607066,0.00360395894840526,0.615814188639622,-0.2783200745719623,5.291696740623498e-26,-8.512690813567847
4,0.2,0.08455297380179305,1.1576989174142768e-06,1.211322173171547,-0.34207629010699275,1.283799083221815e-19,-4.770680108854541
4,0.5,-0.01837574937377114,4.693924988636512e-05,-0.9378838965267915,-0.4450050132825569,2.3334640041560418e-39,-27.941496326930633
4,0.8,-0.004213957687865686,0.24151616971353634,-0.23065989585229982,-0.4308432215966515,4.822679052373052e-40,-29.690277689876595
5,0.2,0.0859421447655488,0.0002809626719517336,0.8072602715838609,-0.35135136103836684,4.448047899611937e-16,-3.424444775795457
5,0.5,-0.029971552712565915,3.2583218511374163e-07,-1.3080137948420916,-0.4672650585164815,1.6722743044856213e-40,-30.92599819121985
5,0.8,-0.017094283420783125,0.0003976677384908509,-0.7817279754574069,-0.4543877892246987,4.890753045822466e-37,-22.742313314727653
6,0.2,0.10053242081904472,0.0009610032444265162,0.7163114244351587,-0.3414001284010673,1.9711315040023727e-12,-2.3889719010597075
6,0.5,-0.025529486651781633,3.959903116823077e-07,-1.2930009560867999,-0.4674620358718937,3.973171259377355e-40,-29.912604117273403
6,0.8,-0.010218476648168362,0.05932918843173994,-0.37952212326287776,-0.4521510258682804,1.3180683613064096e-35,-20.030904910954337
